Wskaźnik;;Sprzedażdetalicznatowarówogółem;Sprzedażdetalicznatowarówogółem;Wskaźnikogólnegoklimatukoniunkturywhandlu,naprawiepojazdówsamochodowych;Wskaźnikprognozyogólnejsytuacjigospodarczejwhandlu,naprawiepojazdówsamochodowych
2000;1;.;.;-2,8;12
2000;2;.;.;-7,7;-3,1
2000;3;.;.;-11,9;-6,2
2000;4;.;.;-18,4;-24,4
2001;1;.;.;-12,4;2,7
2001;2;.;.;-16;-10,4
2001;3;.;.;-21,9;-17,1
2001;4;.;.;-28,9;-37,7
2002;1;.;.;-21,6;-13,8
2002;2;.;.;-15;-11,5
2002;3;.;.;-12,4;-10,2
2002;4;.;.;-19,4;-18,2
2003;1;.;.;-28,6;-19,9
2003;2;.;.;-19,9;-11,5
2003;3;.;.;-14,9;-11,9
2003;4;.;.;-22,5;-23,9
2004;1;.;.;-19,4;-10,5
2004;2;.;.;-13,9;-13,2
2004;3;.;.;-11,3;-5,2
2004;4;.;.;-20,8;-20,3
2005;1;.;.;-8,3;-2,8
2005;2;.;.;-5,1;-2,8
2005;3;.;.;-4;-3,5
2005;4;.;.;-10,4;-12,8
2006;1;109,1;109,1;-6;-1,4
2006;2;111,9;110,6;-2,7;-1,7
2006;3;113,7;111,7;-2,7;-4
2006;4;112,7;112;-2,8;-4
2007;1;117,4;117,4;6,2;8,4
2007;2;114;115,6;10,5;10,6
2007;3;112,8;114,6;8,8;7,3
2007;4;112,1;113,9;6,1;1,6
2008;1;116,1;116,1;8,4;10,2
2008;2;111,8;113,8;9,8;9,1
2008;3;108,4;111,9;7,9;5,9
2008;4;104,8;109,9;-5;-13,3
2009;1;101;101;-10,6;-19,8
2009;2;101;101;-1,3;-6,4
2009;3;103,6;101,9;0,3;-4,3
2009;4;104,7;102,7;-6,3;-11,4
2010;1;100,3;100,3;2,6;5
2010;2;101,1;100,7;0,2;0
2010;3;102,9;101,5;2,5;2,2
2010;4;107,3;103,1;-2,1;-4,8
2011;1;106;106;-1;-1,2
2011;2;108,8;107,6;1,3;-1,2
2011;3;107,1;107,4;-0,1;0,2
2011;4;106,9;107,3;-8,2;-13,2
2012;1;108,4;108,4;-3;-1,2
2012;2;102,7;105,3;-5,5;-5,4
2012;3;101,9;104,1;-6,5;-7,4
2012;4;98;102,3;-12,8;-17,4
2013;1;100;100;-9;-5,7
2013;2;101,5;100,8;-8,5;-7,3
2013;3;103,9;101,9;-4,3;-2,2
2013;4;104,2;102,5;-7,5;-7,3
2014;1;105,5;105,5;0,1;3,6
2014;2;105,1;105,3;1;2
2014;3;102,6;104,3;0,6;0,4
2014;4;103,7;104,1;-0,7;-2,6
2015;1;104,4;104,4;3,4;5,4
2015;2;103,5;103,9;2,5;1,4
2015;3;102,6;103,5;3,6;3
2015;4;104,4;103,7;-0,8;-4,1
2016;1;104,4;104,4;2,4;2,3
2016;2;105,7;105;3,9;1,2
2016;3;105,9;105,3;4,8;3,3
2016;4;106,5;105,7;0;-3,6
2017;1;107,1;107,1;9,2;7,7
2017;2;106,7;106,9;8,4;5,5
2017;3;107,9;107,2;11,4;10,5
2017;4;107,5;107,3;9,4;5,6
2018;1;108,1;108,1;12,8;10,6
2018;2;105,5;106,8;9,7;5,6
2018;3;105,6;106,4;12,2;10,9
2018;4;105,8;106,2;10,4;7,9
2019;1;104,1;104,1;5,2;4,7
2019;2;108,1;106,2;4,7;2,1
2019;3;;;3;1
