Entity,Code,Year,OWIDvisitors
Afghanistan,AFG,2018,1185
Albania,ALB,2018,1933
Algeria,DZA,2018,4137
American Samoa,ASM,2018,34
Andorra,AND,2018,204
Angola,AGO,2018,494
Anguilla,AIA,2018,40
Antigua and Barbuda,ATG,2018,242
Argentina,ARG,2018,96344
Armenia,ARM,2018,1727
Aruba,ABW,2018,287
Australia,AUS,2018,231797
Austria,AUT,2018,25878
Azerbaijan,AZE,2018,3065
Bahamas,BHS,2018,936
Bahrain,BHR,2018,1755
Bangladesh,BGD,2018,14237
Barbados,BRB,2018,661
Belarus,BLR,2018,2492
Belgium,BEL,2018,41350
Belize,BLZ,2018,632
Benin,BEN,2018,217
Bermuda,BMU,2018,371
Bhutan,BTN,2018,734
Bolivia,BOL,2018,3012
Bosnia and Herzegovina,BIH,2018,4682
Botswana,BWA,2018,1096
Brazil,BRA,2018,107447
British Indian Ocean Territory,IOT,2018,3
British Virgin Islands,VGB,2018,33
Brunei,BRN,2018,1195
Bulgaria,BGR,2018,12734
Burkina Faso,BFA,2018,254
Burundi,BDI,2018,111
Cambodia,KHM,2018,3406
Cameroon,CMR,2018,1343
Canada,CAN,2018,314719
Cape Verde,CPV,2018,152
Cayman Islands,CYM,2018,363
Central African Republic,CAF,2018,50
Chad,TCD,2018,18
Chile,CHL,2018,17257
China,CHN,2018,36739
Christmas Island,CXR,2018,7
Colombia,COL,2018,20501
Comoros,COM,2018,7
Congo,COG,2018,98
Cook Islands,COK,2018,30
Costa Rica,CRI,2018,4833
Cote d'Ivoire,CIV,2018,741
Croatia,HRV,2018,46767
Cuba,CUB,2018,401
Curacao,CUW,2018,264
Cyprus,CYP,2018,3657
Czech Republic,CZE,2018,21060
Democratic Republic of Congo,COD,2018,387
Denmark,DNK,2018,45037
Djibouti,DJI,2018,111
Dominica,DMA,2018,63
Dominican Republic,DOM,2018,3114
Ecuador,ECU,2018,4930
Egypt,EGY,2018,11991
El Salvador,SLV,2018,1168
Equatorial Guinea,GNQ,2018,40
Eritrea,ERI,2018,45
Estonia,EST,2018,6309
Ethiopia,ETH,2018,6447
Faeroe Islands,FRO,2018,414
Falkland Islands,FLK,2018,8
Fiji,FJI,2018,1219
Finland,FIN,2018,41993
France,FRA,2018,102462
French Guiana,GUF,2018,54
French Polynesia,PYF,2018,106
Gabon,GAB,2018,84
Gambia,GMB,2018,188
Georgia,GEO,2018,3533
Germany,DEU,2018,146072
Ghana,GHA,2018,6238
Gibraltar,GIB,2018,194
Greece,GRC,2018,30739
Greenland,GRL,2018,164
Grenada,GRD,2018,305
Guadeloupe,GLP,2018,190
Guam,GUM,2018,538
Guatemala,GTM,2018,2918
Guernsey,GGY,2018,354
Guinea,GIN,2018,87
Guinea-Bissau,GNB,2018,14
Guyana,GUY,2018,683
Haiti,HTI,2018,298
Honduras,HND,2018,1321
Hong Kong,HKG,2018,27427
Hungary,HUN,2018,27031
Iceland,ISL,2018,3944
India,IND,2018,276307
Indonesia,IDN,2018,29604
Iran,IRN,2018,9519
Iraq,IRQ,2018,2291
Ireland,IRL,2018,33593
Isle of Man,IMN,2018,13
Israel,ISR,2018,19249
Italy,ITA,2018,69207
Jamaica,JAM,2018,2862
Japan,JPN,2018,39165
Jersey,JEY,2018,608
Jordan,JOR,2018,3574
Kazakhstan,KAZ,2018,5836
Kenya,KEN,2018,16806
Kiribati,KIR,2018,47
Kosovo,OWID_KOS,2018,1107
Kuwait,KWT,2018,3298
Kyrgyzstan,KGZ,2018,834
Laos,LAO,2018,584
Latvia,LVA,2018,5475
Lebanon,LBN,2018,5534
Lesotho,LSO,2018,552
Liberia,LBR,2018,699
Libya,LBY,2018,469
Liechtenstein,LIE,2018,188
Lithuania,LTU,2018,7513
Luxembourg,LUX,2018,2876
Macao,MAC,2018,868
Macedonia,MKD,2018,2827
Madagascar,MDG,2018,440
Malawi,MWI,2018,1386
Malaysia,MYS,2018,35360
Maldives,MDV,2018,827
Mali,MLI,2018,198
Malta,MLT,2018,2831
Marshall Islands,MHL,2018,31
Martinique,MTQ,2018,146
Mauritania,MRT,2018,82
Mauritius,MUS,2018,3964
Mayotte,MYT,2018,39
Mexico,MEX,2018,44606
Micronesia (region),,2018,34
Moldova,MDA,2018,1280
Monaco,MCO,2018,223
Mongolia,MNG,2018,2036
Montenegro,MNE,2018,817
Montserrat,MSR,2018,16
Morocco,MAR,2018,6397
Mozambique,MOZ,2018,832
Myanmar,MMR,2018,3333
Namibia,NAM,2018,1398
Nauru,NRU,2018,2
Nepal,NPL,2018,8480
Netherlands,NLD,2018,91903
Netherlands Antilles,ANT,2018,61
New Caledonia,NCL,2018,194
New Zealand,NZL,2018,46794
Nicaragua,NIC,2018,906
Niger,NER,2018,99
Nigeria,NGA,2018,27722
Norfolk Island,NFK,2018,3
North Korea,PRK,2018,1
Northern Mariana Islands,MNP,2018,119
Norway,NOR,2018,74998
Oman,OMN,2018,2711
Pakistan,PAK,2018,32690
Palau,PLW,2018,30
Palestine,PSE,2018,987
Panama,PAN,2018,2263
Papua New Guinea,PNG,2018,956
Paraguay,PRY,2018,2293
Peru,PER,2018,13550
Philippines,PHL,2018,71385
Poland,POL,2018,40186
Portugal,PRT,2018,22892
Puerto Rico,PRI,2018,2202
Qatar,QAT,2018,4527
Reunion,REU,2018,433
Romania,ROU,2018,27045
Russia,RUS,2018,41920
Rwanda,RWA,2018,1500
Saint Helena,SHN,2018,4
Saint Kitts and Nevis,KNA,2018,121
Saint Lucia,LCA,2018,246
Saint Martin (French part),MAF,2018,8
Saint Vincent and the Grenadines,VCT,2018,176
Samoa,WSM,2018,144
San Marino,SMR,2018,32
Sao Tome and Principe,STP,2018,14
Saudi Arabia,SAU,2018,11777
Senegal,SEN,2018,742
Serbia,SRB,2018,7973
Seychelles,SYC,2018,181
Sierra Leone,SLE,2018,565
Singapore,SGP,2018,41514
Sint Maarten (Dutch part),SXM,2018,91
Slovakia,SVK,2018,9995
Slovenia,SVN,2018,11363
Solomon Islands,SLB,2018,245
Somalia,SOM,2018,1419
South Africa,ZAF,2018,48806
South Korea,KOR,2018,22848
South Sudan,SSD,2018,324
Spain,ESP,2018,153336
Sri Lanka,LKA,2018,9828
Sudan,SDN,2018,1058
Suriname,SUR,2018,233
Svalbard and Jan Mayen,SJM,2018,34
Swaziland,SWZ,2018,560
Sweden,SWE,2018,62767
Switzerland,CHE,2018,45176
Syria,SYR,2018,649
Taiwan,TWN,2018,13144
Tajikistan,TJK,2018,304
Tanzania,TZA,2018,6229
Thailand,THA,2018,23734
Timor,TLS,2018,181
Togo,TGO,2018,149
Tonga,TON,2018,69
Trinidad and Tobago,TTO,2018,2800
Tunisia,TUN,2018,3246
Turkey,TUR,2018,38532
Turkmenistan,TKM,2018,108
Turks and Caicos Islands,TCA,2018,74
Uganda,UGA,2018,4093
Ukraine,UKR,2018,18723
United Arab Emirates,ARE,2018,22393
United Kingdom,GBR,2018,436282
United States,USA,2018,2115842
United States Virgin Islands,VIR,2018,168
Uruguay,URY,2018,5886
Uzbekistan,UZB,2018,1733
Vanuatu,VUT,2018,176
Venezuela,VEN,2018,3766
Vietnam,VNM,2018,16948
Western Sahara,ESH,2018,16
Yemen,YEM,2018,364
Zambia,ZMB,2018,2923
Zimbabwe,ZWE,2018,3139
