country,code,year,trust
Algeria,DZA,2014,17.92863
Argentina,ARG,2014,22.64706
Armenia,ARM,2014,10.01821
Australia,AUS,2014,54.43383
Azerbaijan,AZE,2014,16.16766
Bahrain,BHR,2014,33.5
Belarus,BLR,2014,32.80737
Brazil,BRA,2014,6.52759
Chile,CHL,2014,12.64016
China,CHN,2014,62.69384
Colombia,COL,2014,4.12783
Cyprus,CYP,2014,9.02708
Ecuador,ECU,2014,7.1607
Egypt,EGY,2014,20.55154
Estonia,EST,2014,38.51175
Georgia,GEO,2014,8.81864
Germany,DEU,2014,42.03041
Ghana,GHA,2014,4.96134
Hong Kong,HKG,2014,48.33837
India,IND,2014,32.95383
Iraq,IRQ,2014,30
Japan,JPN,2014,35.93942
Jordan,JOR,2014,13.25
Kazakhstan,KAZ,2014,38.8
Kuwait,KWT,2014,29.15361
Kyrgyzstan,KGZ,2014,37.72538
Lebanon,LBN,2014,9.83333
Libya,LBY,2014,11.00614
Malaysia,MYS,2014,8.53846
Mexico,MEX,2014,12.4062
Morocco,MAR,2014,12.44743
Netherlands,NLD,2014,66.1757
New Zealand,NZL,2014,56.22733
Nigeria,NGA,2014,14.78113
Pakistan,PAK,2014,23.54949
Palestine,PSE,2014,15.8
Peru,PER,2014,8.21577
Philippines,PHL,2014,2.83333
Poland,POL,2014,22.25673
Qatar,QAT,2014,21.4151
Romania,ROU,2014,7.07138
Russia,RUS,2014,27.73516
Rwanda,RWA,2014,16.63392
Singapore,SGP,2014,38.51626
Slovenia,SVN,2014,19.98124
South Africa,ZAF,2014,23.50609
South Korea,KOR,2014,29.67309
Spain,ESP,2014,19.01944
Sweden,SWE,2014,63.75839
Taiwan,TWN,2014,29.63563
Thailand,THA,2014,32.57384
Trinidad and Tobago,TTO,2014,3.2032
Tunisia,TUN,2014,15.51867
Turkey,TUR,2014,12.00762
Ukraine,UKR,2014,23.71274
United States,USA,2014,38.17277
Uruguay,URY,2014,14.43515
Uzbekistan,UZB,2014,13.92236
Yemen,YEM,2014,38.5
Zimbabwe,ZWE,2014,7.2
