Entity,Code,Year,Procent
Algeria,DZA,2014,79.89418
Argentina,ARG,2014,87.207031
Armenia,ARM,2014,81.619659
Australia,AUS,2014,93.989067
Azerbaijan,AZE,2014,81.836327
Bahrain,BHR,2014,72.666672
Belarus,BLR,2014,65.306122
Brazil,BRA,2014,91.784515
Chile,CHL,2014,84.669342
China,CHN,2014,84.995628
Colombia,COL,2014,91.594971
Cyprus,CYP,2014,82.082077
Ecuador,ECU,2014,93.01165
Egypt,EGY,2014,29.678267
Estonia,EST,2014,75.440887
Georgia,GEO,2014,69.550743
Germany,DEU,2014,86.134247
Ghana,GHA,2014,82.538658
Hong Kong,HKG,2014,89.278557
India,IND,2014,80.518654
Iraq,IRQ,2014,68
Japan,JPN,2014,86.45108
Jordan,JOR,2014,85.75
Kazakhstan,KAZ,2014,88.73333
Kuwait,KWT,2014,91.987679
Kyrgyzstan,KGZ,2014,95.994659
Lebanon,LBN,2014,78.726974
Libya,LBY,2014,86.817322
Malaysia,MYS,2014,96.076927
Mexico,MEX,2014,94.25
Morocco,MAR,2014,78.464111
Netherlands,NLD,2014,92.429024
New Zealand,NZL,2014,94.067795
Nigeria,NGA,2014,83.797607
Pakistan,PAK,2014,83.889816
Palestine,PSE,2014,74.400002
Peru,PER,2014,75.867767
Philippines,PHL,2014,89.583328
Poland,POL,2014,92.723495
Qatar,QAT,2014,98.113213
Romania,ROU,2014,67.778519
Russia,RUS,2014,73.180542
Rwanda,RWA,2014,90.438774
Singapore,SGP,2014,92.748482
Slovenia,SVN,2014,83.646622
South Africa,ZAF,2014,77.42849
South Korea,KOR,2014,89.741447
Spain,ESP,2014,86.122795
Sweden,SWE,2014,95.261848
Taiwan,TWN,2014,89.959511
Thailand,THA,2014,93.083336
Trinidad and Tobago,TTO,2014,87.987991
Tunisia,TUN,2014,79.253113
Turkey,TUR,2014,84.375
Ukraine,UKR,2014,68.300873
United States,USA,2014,91.081085
Uruguay,URY,2014,86.345383
Uzbekistan,UZB,2014,96.517082
Yemen,YEM,2014,72.099998
Zimbabwe,ZWE,2014,82.133331
