kto;zaufanie;diffz;nieuf;diffn;obojetnosc;nieznajomosc
Andrzej Duda;63;1;26;0;8;0
Mateusz Morawiecki;54;-1;31;3;11;1
Paweł Kukiz;44;-1;24;-2;24;4
Zbigniew Ziobro;44;0;36;2;14;3
Beata Szydło;44;2;38;-1;15;1
Robert Biedroń;40;NA;21;NA;20;14
Jarosław Kaczyński;39;0;47;2;12;0
Władysław Kosiniak-Kamysz;37;10;14;-4;16;31
Elżbieta Rafalska;37;NA;21;NA;15;23
Jarosław Gowin;37;5;27;0;21;11
Anna Zalewska;28;NA;29;NA;14;26
Grzegorz Schetyna;28;4;45;-1;18;5
Piotr Gliński;27;NA;23;NA;14;31
Stanisław Karczewski;26;2;19;2;15;37
Marek Kuchciński;26;3;24;1;15;30
Joachim Brudziński;24;5;23;1;12;36
Barbara Nowacka;23;NA;22;NA;16;35
Katarzyna Lubnauer;23;3;29;-3;19;26
Jacek Czaputowicz;22;1;13;1;13;47
Ryszard Petru;18;-1;44;0;23;10
Włodzimierz Czarzasty;14;-2;21;-3;22;38
Jadwiga Emilewicz;12;NA;5;NA;8;72
